name,time,bytes_recv,bytes_sent
net,1559895832000000000,383997594,2847855197
net,1559895833000000000,384416224,2851082949
net,1559895834000000000,384823182,2854179151
net,1559895835000000000,385246948,2857406657
net,1559895836000000000,385686591,2860782724
net,1559895837000000000,386119529,2864076628
net,1559895838000000000,386558851,2867444112
net,1559895839000000000,386983239,2870650517
net,1559895840000000000,387481391,2874486372
net,1559895841000000000,387813616,2877031643
net,1559895842000000000,388243053,2880310646
net,1559895843000000000,388672911,2883601468
net,1559895844000000000,389105390,2886887371
net,1559895845000000000,389519162,2890045435
net,1559895846000000000,389936245,2893241026
net,1559895847000000000,390340665,2896312438
net,1559895848000000000,390741177,2899367346
net,1559895849000000000,391141888,2902435765
net,1559895850000000000,391641098,2906228307
net,1559895851000000000,391951651,2908587012
net,1559895852000000000,392299722,2911283119
net,1559895853000000000,392680161,2914176412
net,1559895854000000000,393025925,2916836271
net,1559895855000000000,393315512,2919046094
net,1559895856000000000,393675357,2921814905
net,1559895857000000000,394083517,2924924347
net,1559895858000000000,394501294,2928092299
net,1559895859000000000,394924987,2931348892
net,1559895860000000000,395429121,2935152057
net,1559895861000000000,395750840,2937597183
net,1559895862000000000,396161468,2940740893
net,1559895863000000000,396550481,2943671826
net,1559895864000000000,396949309,2946742479
net,1559895865000000000,397354109,2949819149
net,1559895866000000000,397748385,2952823792
net,1559895867000000000,398149211,2955872493
net,1559895868000000000,398545276,2958859165
net,1559895869000000000,398947586,2961958726
net,1559895870000000000,399448105,2965760188
net,1559895871000000000,399701698,2967699803
net,1559895872000000000,400078703,2970597116
net,1559895873000000000,400484755,2973707735
net,1559895874000000000,400895200,2976826061
net,1559895875000000000,401293571,2979874704
net,1559895876000000000,401686298,2982854373
net,1559895877000000000,402101167,2986007265
net,1559895878000000000,402511266,2989169265
net,1559895879000000000,402894231,2992072075
net,1559895880000000000,403360560,2995648879
net,1559895881000000000,403655379,2997899076
net,1559895882000000000,404059828,3000966771
net,1559895883000000000,404429340,3003801015
net,1559895884000000000,404776452,3006459334
net,1559895885000000000,405168055,3009422924
net,1559895886000000000,405559616,3012457143
net,1559895887000000000,405943684,3015393914
net,1559895888000000000,406300666,3018141334
net,1559895889000000000,406689064,3021102394
net,1559895890000000000,407149973,3024634286
net,1559895891000000000,407445610,3026906982
net,1559895892000000000,407802915,3029646909
net,1559895893000000000,408195024,3032650736
net,1559895894000000000,408601517,3035750830
net,1559895895000000000,409008422,3038869216
net,1559895896000000000,409384757,3041752051
net,1559895897000000000,409777278,3044759910
net,1559895898000000000,410166759,3047715687
net,1559895899000000000,410586366,3050910978
net,1559895900000000000,411084482,3054688190
net,1559895901000000000,411411359,3057198575
net,1559895902000000000,411825367,3060332761
net,1559895903000000000,412236079,3063475164
net,1559895904000000000,412644954,3066576795
net,1559895905000000000,413052672,3069697331
net,1559895906000000000,413439228,3072673841
net,1559895907000000000,413842572,3075730893
net,1559895908000000000,414249468,3078824411
net,1559895909000000000,414668654,3081991839
net,1559895910000000000,415168476,3085820259
net,1559895911000000000,415490161,3088215025
net,1559895912000000000,415918414,3091475343
net,1559895913000000000,416321415,3094531971
net,1559895914000000000,416728596,3097651139
net,1559895915000000000,417129764,3100738863
net,1559895916000000000,417513742,3103669057
net,1559895917000000000,417913916,3106729385
net,1559895918000000000,418307628,3109734833
net,1559895919000000000,418729831,3112947008
net,1559895920000000000,419222630,3116707611
net,1559895921000000000,419532881,3119095990
net,1559895922000000000,419938250,3122153587
net,1559895923000000000,420353893,3125327268
net,1559895924000000000,420752647,3128375380
net,1559895925000000000,421150592,3131431949
net,1559895926000000000,421547229,3134438584
net,1559895927000000000,421969850,3137693227
net,1559895928000000000,422384511,3140874965
net,1559895929000000000,422799324,3144007382
net,1559895930000000000,423299397,3147823013
net,1559895931000000000,423602137,3150127797
net,1559895932000000000,424016861,3153305104
net,1559895933000000000,424418652,3156359850
net,1559895934000000000,424804491,3159288688
net,1559895935000000000,425191343,3162249729
net,1559895936000000000,425589964,3165251772
net,1559895937000000000,426013432,3168535792
net,1559895938000000000,426437088,3171786244
net,1559895939000000000,426766854,3174308928
net,1559895940000000000,427237625,3177905817
net,1559895941000000000,427549862,3180298240
net,1559895942000000000,427930863,3183205725
net,1559895943000000000,428238528,3185562864
net,1559895944000000000,428519468,3187714172
net,1559895945000000000,428870860,3190405818
net,1559895946000000000,429173529,3192733127
net,1559895947000000000,429360695,3194145388
net,1559895948000000000,429735340,3197031778
net,1559895949000000000,430106081,3199875247
net,1559895950000000000,430481333,3202754519
net,1559895951000000000,430767416,3204930643
net,1559895952000000000,431134861,3207734653
net,1559895953000000000,431510108,3210594028
net,1559895954000000000,431877003,3213407635
net,1559895955000000000,432265329,3216374637
net,1559895956000000000,432657019,3219379273
net,1559895957000000000,433007742,3222077150
net,1559895958000000000,433396625,3225063095
net,1559895959000000000,433783610,3228033400
net,1559895960000000000,434268237,3231744131
net,1559895961000000000,434573929,3234085799
net,1559895962000000000,434890974,3236505172
net,1559895963000000000,435228978,3239112811
net,1559895964000000000,435630755,3242186398
net,1559895965000000000,436060771,3245436948
net,1559895966000000000,436481163,3248669283
net,1559895967000000000,436896763,3251821833
net,1559895968000000000,437305408,3254937994
net,1559895969000000000,437730889,3258216985
net,1559895970000000000,438245912,3262139616
net,1559895971000000000,438572310,3264616192
net,1559895972000000000,438972785,3267661069
net,1559895973000000000,439397041,3270891881
net,1559895974000000000,439802356,3273991642
net,1559895975000000000,440214143,3277122899
net,1559895976000000000,440628483,3280282836
net,1559895977000000000,441036473,3283380375
net,1559895978000000000,441470939,3286677505
net,1559895979000000000,441882920,3289826864
net,1559895980000000000,442396985,3293784069
net,1559895981000000000,442712728,3296196220
net,1559895982000000000,443101900,3299174442
net,1559895983000000000,443515069,3302341358
net,1559895984000000000,443926732,3305473040
net,1559895985000000000,444342055,3308659367
net,1559895986000000000,444763256,3311870770
net,1559895987000000000,445174652,3314955988
net,1559895988000000000,445582033,3318065354
net,1559895989000000000,446002133,3321282962
net,1559895990000000000,446515381,3325176546
net,1559895991000000000,446848324,3327721173
net,1559895992000000000,447268817,3330915424
net,1559895993000000000,447674647,3334023854
net,1559895994000000000,448028201,3336754738
net,1559895995000000000,448426786,3339783515
net,1559895996000000000,448837518,3342923571
net,1559895997000000000,449235799,3345908924
net,1559895998000000000,449628167,3348914048
net,1559895999000000000,449978410,3351606679
net,1559896000000000000,450435710,3355105667
net,1559896001000000000,450762749,3357587766
net,1559896002000000000,451143973,3360514981
net,1559896003000000000,451464223,3362979204
net,1559896004000000000,451780454,3365423729
net,1559896005000000000,452094255,3367854511
net,1559896006000000000,452408624,3370303202
net,1559896007000000000,452731951,3372802338
net,1559896008000000000,453052167,3375252897
net,1559896009000000000,453349341,3377572838
net,1559896010000000000,453763251,3380750042
net,1559896011000000000,453999000,3382606011
net,1559896012000000000,454285377,3384782805
net,1559896013000000000,454638667,3387542760
net,1559896014000000000,455022000,3390464111
net,1559896015000000000,455398762,3393335323
net,1559896016000000000,455731191,3395888019
net,1559896017000000000,456108242,3398754438
net,1559896018000000000,456445892,3401362123
net,1559896019000000000,456824680,3404240275
net,1559896020000000000,457262963,3407640176
net,1559896021000000000,457547735,3409812611
net,1559896022000000000,457952350,3412888468
net,1559896023000000000,458365838,3416029467
net,1559896024000000000,458776586,3419147239
net,1559896025000000000,459186465,3422294970
net,1559896026000000000,459596675,3425416576
net,1559896027000000000,460001570,3428477789
net,1559896028000000000,460413229,3431633248
net,1559896029000000000,460793988,3434539889
net,1559896030000000000,461310491,3438461604
net,1559896031000000000,461606142,3440695753
net,1559896032000000000,461995557,3443699612
net,1559896033000000000,462401563,3446786600
net,1559896034000000000,462781192,3449696539
net,1559896035000000000,463115131,3452235690
net,1559896036000000000,463308939,3453707589
net,1559896037000000000,463485693,3455073426
net,1559896038000000000,463719679,3456846716
net,1559896039000000000,463983299,3458840436
net,1559896040000000000,464300834,3461257658
net,1559896041000000000,464491155,3462705749
net,1559896042000000000,464754098,3464754404
net,1559896043000000000,465123144,3467535122
net,1559896044000000000,465516471,3470544437
net,1559896045000000000,465899333,3473466489
net,1559896046000000000,466271053,3476296285
net,1559896047000000000,466673450,3479373116
net,1559896048000000000,467040370,3482204660
net,1559896049000000000,467440705,3485227636
net,1559896050000000000,467940528,3489075861
net,1559896051000000000,468261916,3491509639
net,1559896052000000000,468654982,3494529331
net,1559896053000000000,469003534,3497162731
net,1559896054000000000,469270634,3499200065
net,1559896055000000000,469493163,3500903123
net,1559896056000000000,469845225,3503602757
net,1559896057000000000,470239377,3506613909
net,1559896058000000000,470615606,3509490328
net,1559896059000000000,471008624,3512478760
net,1559896060000000000,471468327,3516042059
net,1559896061000000000,471808957,3518625599
net,1559896062000000000,472217906,3521738802
net,1559896063000000000,472622252,3524806576
net,1559896064000000000,473030023,3527908197
net,1559896065000000000,473450224,3531132908
net,1559896066000000000,473847359,3534188665
net,1559896067000000000,474245608,3537214143
net,1559896068000000000,474646098,3540282354
net,1559896069000000000,475059670,3543457220
net,1559896070000000000,475565038,3547295760
net,1559896071000000000,475884274,3549726733
net,1559896072000000000,476281423,3552765342
net,1559896073000000000,476661338,3555679485
net,1559896074000000000,477048340,3558628783
net,1559896075000000000,477419284,3561482073
net,1559896076000000000,477749990,3564010034
net,1559896077000000000,478112392,3566807119
net,1559896078000000000,478477094,3569580155
net,1559896079000000000,478858912,3572528477
net,1559896080000000000,479293127,3575854798
net,1559896081000000000,479591333,3578149702
net,1559896082000000000,479979771,3581133884
net,1559896083000000000,480346603,3583945264
net,1559896084000000000,480584510,3585768949
net,1559896085000000000,480796623,3587358474
net,1559896086000000000,481180880,3590276479
net,1559896087000000000,481572553,3593247760
net,1559896088000000000,481974131,3596300746
net,1559896089000000000,482368322,3599324409
net,1559896090000000000,482816106,3602717855
net,1559896091000000000,483073459,3604710348
net,1559896092000000000,483470365,3607757117
net,1559896093000000000,483876598,3610832323
net,1559896094000000000,484285947,3613956124
net,1559896095000000000,484662810,3616872112
net,1559896096000000000,485065136,3619920995
net,1559896097000000000,485446626,3622845444
net,1559896098000000000,485841701,3625859393
net,1559896099000000000,486244487,3628946837
net,1559896100000000000,486690511,3632357235
net,1559896101000000000,486992138,3634682715
net,1559896102000000000,487382528,3637649795
net,1559896103000000000,487791431,3640757732
net,1559896104000000000,488127657,3643362342
net,1559896105000000000,488506493,3646256170
net,1559896106000000000,488880703,3649115911
net,1559896107000000000,489259922,3652054469
net,1559896108000000000,489660196,3655100741
net,1559896109000000000,490043048,3658014024
net,1559896110000000000,490508901,3661591866
net,1559896111000000000,490793716,3663758400
net,1559896112000000000,491209177,3666899453
net,1559896113000000000,491556754,3669562480
net,1559896114000000000,491815376,3671545914
net,1559896115000000000,492037972,3673203827
net,1559896116000000000,492455538,3676423274
net,1559896117000000000,492878464,3679649970
net,1559896118000000000,493302918,3682898454
net,1559896119000000000,493695791,3685903087
net,1559896120000000000,494200056,3689739840
net,1559896121000000000,494527489,3692204001
net,1559896122000000000,494956156,3695479650
net,1559896123000000000,495348165,3698439837
net,1559896124000000000,495754774,3701586503
net,1559896125000000000,496109580,3704281138
net,1559896126000000000,496368291,3706261261
net,1559896127000000000,496551083,3707569468
net,1559896128000000000,496909551,3710272828
net,1559896129000000000,497329469,3713480434
net,1559896130000000000,497833156,3717321521
net,1559896131000000000,498148106,3719745303
net,1559896132000000000,498568682,3722957943
